,country,year,persons_prosecuted,Adult_victims,child_victims,gdp,policy_index,females_education,life_expectancy
72,kazakhstan,2005,2,10,3.0,57123671733.8952,9,48.78757,60
73,kazakhstan,2006,11,13,6.0,81003864915.5437,9,48.84478,60
74,kazakhstan,2007,0,11,6.0,104849886825.584,10,48.806459999999994,60
75,kyrgyzstan,2005,3,114,6.0,2459876151.9333,10,48.88707,58
76,kyrgyzstan,2006,7,95,9.0,2834168889.42019,9,48.9781,58
77,kyrgyzstan,2003,0,131,3.0,1919012780.9708602,10,48.74089,58
78,kyrgyzstan,2004,0,119,2.0,2211535311.62834,10,48.77952,58
79,Lao PDR,2003,0,0,81.0,2023324407.30177,7,45.64949,53
80,Lao PDR,2004,0,0,66.0,2366398119.88556,9,45.918459999999996,53
81,Lao PDR,2005,0,0,243.0,2735550176.99656,8,45.97927,53
82,Lao PDR,2006,0,0,259.0,3452895836.2730103,10,46.10604,53
83,malaysia,2003,31,0,0.0,110202368421.05301,8,48.59518,71
84,malaysia,2004,73,0,0.0,124749736842.105,8,48.58656,71
85,malaysia,2005,34,0,0.0,143533152129.483,7,48.581520000000005,71
86,malaysia,2006,35,0,0.0,162692467585.806,6,48.55223,71
87,moldova,2003,173,173,15.0,1980901553.5122602,9,48.684090000000005,63
88,moldova,2004,238,238,41.0,2598231467.4367104,9,48.64588,63
89,moldova,2005,239,239,53.0,2988172424.46608,10,48.47659,63
90,moldova,2006,243,251,47.0,3408454197.89191,8,48.55167,63
91,mongolia,2003,0,0,0.0,1595297301.45651,0,49.60448,55
92,mongolia,2004,1,5,0.0,1992066758.8442302,7,49.36538,55
93,mongolia,2005,4,21,0.0,2523359940.71209,10,49.49981,55
94,mongolia,2006,9,20,0.0,3414053250.94549,10,49.521679999999996,55
95,mongolia,2007,16,31,0.0,4234894168.15659,9,49.42532,55
96,morocco,2003,15,21,0.0,49822651701.729004,10,46.44024,61
97,morocco,2004,16,12,0.0,56948015336.0397,10,46.47576,61
98,morocco,2005,20,13,0.0,59523857868.0203,12,46.35572,61
99,morocco,2006,37,21,0.0,65637107776.2619,10,46.29177,61
100,Myanmar,2003,0,932,0.0,0.0,7,49.671620000000004,57
101,Myanmar,2004,0,1157,0.0,0.0,5,49.702529999999996,57
102,Myanmar,2005,0,824,0.0,0.0,7,49.85957,57
103,Myanmar,2006,0,1370,0.0,0.0,7,49.572520000000004,57
104,Myanmar,2007,0,690,0.0,0.0,10,49.62901,57
105,nicaragua,2004,14,0,12.0,5795568202.50505,9,48.58767,64
106,nicaragua,2005,11,10,22.0,6322582497.35619,9,48.41639,64
107,nicaragua,2006,6,29,40.0,6786340352.87422,10,48.40334,64
108,nicaragua,2007,15,61,29.0,7458167330.677291,10,48.492490000000004,64
109,nicaragua,2003,0,0,14.0,5322437647.578529,8,48.40334,64
110,panama,2004,5,0,0.0,14179300000.0,9,48.25597,77
111,panama,2005,7,0,0.0,15464700000.0,10,48.20064,77
112,panama,2006,5,0,0.0,17137000000.0,11,48.259159999999994,77
113,panama,2007,14,0,0.0,21121900000.0,10,48.26234,77
114,Philippines,2004,0,85,135.0,91371236939.2189,12,48.54331,69
115,Philippines,2005,0,112,102.0,103065972407.85901,12,48.61233,69
116,Philippines,2006,0,38,146.0,122210719245.94199,14,48.52605,69
117,Philippines,2007,0,155,204.0,149359920006.4,14,48.49818,69
118,qatar,2003,0,0,140.0,23533790530.5514,5,48.31586,75
119,qatar,2004,0,0,17.0,31734065019.4957,5,48.49046,75
120,qatar,2005,0,1,47.0,44530493222.1334,5,48.68197,75
121,qatar,2006,0,1,7.0,60882141102.5301,8,48.7896,75
122,russia,2006,106,584,0.0,989930542278.6841,12,48.86224,61
123,russia,2007,112,655,0.0,1299705247685.76,10,48.80622,61
124,South Korea,2005,48,0,0.0,898134300667.891,14,47.19419,73
125,South Korea,2006,43,0,0.0,1011797986991.9,15,47.39819,73
126,taikistan,2004,11,0,0.0,1554125542.56223,9,47.98441,56
127,taikistan,2005,48,142,9.0,2076148710.31813,11,48.171490000000006,56
128,taikistan,2006,47,70,12.0,2312319579.02843,11,47.9513,56
129,thailand,2005,8,270,614.0,176351948403.90802,11,48.144220000000004,75
130,thailand,2006,22,127,416.0,207088828467.346,12,48.40894,75
131,uganda,2006,18,120,182.0,9942597753.13748,8,49.26726,49
132,uganda,2007,3,65,37.0,12292813800.5214,7,49.39975,49
133,uganda,2004,0,84,0.0,7940362663.201329,8,49.57601,49
134,uganda,2005,0,172,0.0,9013834490.38208,8,49.84839,49
135,ukraine,2003,53,198,0.0,50132953288.202995,11,48.72498,63
136,ukraine,2004,69,377,15.0,64883060725.7003,9,48.59818,63
137,ukraine,2005,115,446,39.0,86142018069.3504,12,48.647870000000005,63
138,ukraine,2006,86,393,52.0,107753069306.931,10,48.64945,63
139,United Arab Emirate,2003,7,6,0.0,124346361618.639,9,48.279990000000005,74
140,United Arab Emirate,2004,21,36,3.0,147824374542.517,7,48.34251,74
141,United Arab Emirate,2005,21,24,3.0,180617023539.137,9,48.49452,74
142,United Arab Emirate,2006,5,1,0.0,222105928740.596,8,48.547540000000005,74
143,United Arab Emirate,2007,0,5,1.0,257916140791.417,10,48.513909999999996,74
144,USA,2003,27,145,6.0,11512200000000.0,15,48.85524,77
145,USA,2004,47,147,16.0,12277000000000.0,15,48.69113,77
146,USA,2005,96,197,34.0,13095400000000.0,15,48.54675,77
147,USA,2006,111,214,20.0,13857900000000.0,15,49.02832,77
148,USA,2007,89,270,33.0,14480300000000.0,15,48.77352,77
149,uzbekistan,2003,96,139,0.0,10128112401.4248,10,48.95697,66
150,uzbekistan,2004,189,217,0.0,12030023547.8807,9,48.702040000000004,66
151,uzbekistan,2005,176,393,0.0,14307509838.8053,9,48.64689,66
152,uzbekistan,2006,181,584,0.0,17030896203.1963,8,48.634879999999995,66
153,Viet Nam,2003,208,0,0.0,42717072777.5838,9,47.492670000000004,70
154,Viet Nam,2004,175,0,0.0,49424107709.8946,11,47.32154,70
155,Viet Nam,2005,182,0,0.0,57633255739.4104,11,47.47631,70
156,Viet Nam,2006,182,0,0.0,66371664817.0436,11,47.90538,70
157,Viet Nam,2007,297,0,0.0,77414425532.2452,13,47.80038,70
